model,iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best,colsample_bytree,max_depth,n_estimators,subsample,min_samples_leaf
GRU,1,random,0.0953259357915815,0.2154094276262366,0.0005710050279641,48.0,0.1079146855055481,3.0,0.0022297217157477,2.0,3.0,0.0122920571808584,84.0,False,,,,,
GRU,2,random,0.084193142632727,0.3070391030560339,0.0001570492870503,168.0,0.2917986243935994,24.0,0.0016036685991738,2.0,8.0,0.1630874974396268,81.0,False,,,,,
GRU,3,random,0.0732901099338379,0.3967777098139522,0.0003384801563656,204.0,0.3429617106350278,30.0,0.0018837355453819,1.0,7.0,0.0100756725916393,70.0,True,,,,,
GRU,4,random,0.167378975066849,-0.3776310167901922,0.0003339099389269,153.0,0.1198847562149539,18.0,0.0001526094648129,1.0,2.0,0.1268061663592975,30.0,False,,,,,
GRU,5,random,0.0840373881503823,0.3083210574101962,6.523660985021728e-05,203.0,0.2588758046297,17.0,0.0028106885617398,3.0,5.0,0.1846155334443761,16.0,False,,,,,
GRU,6,bayes,0.1780477272813551,-0.4654413523193854,0.0001825173155277,32.0,0.0,40.0,0.003,1.0,2.0,0.0,96.0,False,,,,,
GRU,7,bayes,0.0953788008632988,0.2149743158538436,0.0006591171411134,72.0,0.4,3.0,0.003,2.0,8.0,0.2490789744794605,96.0,False,,,,,
GRU,8,bayes,0.0766502564922774,0.3691216549359827,0.000366891311463,201.0,0.3356303020174529,28.0,0.0010181290533643,1.0,7.0,0.0689351717882093,67.0,False,,,,,
GRU,9,bayes,0.0797097298465242,0.3439403238508202,0.000318317091462,62.0,0.3746191850899095,40.0,0.0004718810612762,3.0,7.0,0.0192043169873676,73.0,False,,,,,
GRU,10,bayes,0.1873613282495754,-0.5420979668476029,0.0016057178994996,253.0,0.0,28.0,0.0001,3.0,8.0,0.2290295226142851,82.0,False,,,,,
GRU,11,bayes,0.0811816432973808,0.331825578715591,0.0001236600909012,35.0,0.4,29.0,0.003,3.0,5.0,0.2723274479353413,90.0,False,,,,,
GRU,12,bayes,0.1847263857091816,-0.5204107831994971,0.0081838512246104,235.0,0.4,3.0,0.0001,2.0,6.0,0.0,22.0,False,,,,,
GRU,13,bayes,0.0849173277789003,0.301078617762893,0.0001432234829856,256.0,0.4,40.0,0.0012092245052098,1.0,2.0,0.0,16.0,False,,,,,
