iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best
1,random,0.09532593579158154,0.2154094276262366,0.0005710050279641528,48,0.10791468550554813,3,0.0022297217157477775,2,3,0.012292057180858407,84,False
2,random,0.08419314263272709,0.3070391030560339,0.00015704928705035403,168,0.2917986243935994,24,0.0016036685991738307,2,8,0.16308749743962686,81,False
3,random,0.07329010993383794,0.3967777098139522,0.00033848015636565897,204,0.3429617106350278,30,0.0018837355453819819,1,7,0.010075672591639306,70,True
4,random,0.16737897506684904,-0.3776310167901922,0.0003339099389269602,153,0.11988475621495392,18,0.0001526094648129324,1,2,0.12680616635929753,30,False
5,random,0.08403738815038235,0.3083210574101962,6.523660985021728e-05,203,0.25887580462970006,17,0.0028106885617398374,3,5,0.18461553344437615,16,False
6,bayes,0.1780477272813551,-0.46544135231938544,0.00018251731552779867,32,0.0,40,0.003,1,2,0.0,96,False
7,bayes,0.09537880086329885,0.21497431585384363,0.000659117141113484,72,0.4,3,0.003,2,8,0.2490789744794605,96,False
8,bayes,0.07665025649227741,0.3691216549359827,0.00036689131146307966,201,0.3356303020174529,28,0.0010181290533643767,1,7,0.06893517178820938,67,False
9,bayes,0.07970972984652425,0.3439403238508202,0.00031831709146201096,62,0.3746191850899095,40,0.0004718810612762418,3,7,0.01920431698736767,73,False
10,bayes,0.18736132824957547,-0.5420979668476029,0.001605717899499639,253,0.0,28,0.0001,3,8,0.2290295226142851,82,False
11,bayes,0.08118164329738081,0.33182557871559104,0.00012366009090121667,35,0.4,29,0.003,3,5,0.27232744793534136,90,False
12,bayes,0.18472638570918168,-0.5204107831994971,0.008183851224610461,235,0.4,3,0.0001,2,6,0.0,22,False
13,bayes,0.0849173277789003,0.301078617762893,0.0001432234829856332,256,0.4,40,0.0012092245052098668,1,2,0.0,16,False
14,bayes,0.0904899760148158,0.2552123251034226,0.00023302612591584579,231,0.24824904637168743,3,0.003,1,5,0.16369378254652528,94,False
15,bayes,0.09021310363419693,0.2574911536067084,8.344406673493296e-05,32,0.4,21,0.003,3,8,0.0,96,False
16,bayes,0.1485995179308863,-0.22306463461075987,4.874108146875432e-06,239,0.4,40,0.0001,2,4,0.27500260500869445,18,False
17,bayes,0.07779757327190347,0.359678538313567,0.0002702874908209074,32,0.18276111289150618,40,0.003,3,7,0.3,51,False
18,bayes,0.09348780537875316,0.23053836164322594,8.893870857577617e-06,32,0.3452115418278667,40,0.0015759502119730153,3,3,0.3,23,False
19,bayes,0.1449048832080439,-0.19265553820026438,1.6854165798760556e-05,256,0.4,3,0.0015592997262498108,2,2,0.02901011842681494,16,False
20,bayes,0.08052835095282806,0.3372025730276188,0.00010282901073953089,32,0.3503877907999904,40,0.003,3,8,0.11133064313849221,96,False
21,bayes,0.10125253055328634,0.16662993925614789,0.00015533446496973906,32,0.0,3,0.003,2,8,0.145491202998028,29,False
22,bayes,0.10738871222676985,0.11612542281569072,0.00017125218293431352,97,0.15137089342206683,3,0.003,2,8,0.3,64,False
23,bayes,0.07640543148302464,0.3711367140334464,0.0003013039721220812,256,0.4,40,0.0011304841446930377,1,6,0.0,26,False
24,bayes,0.07566767588877663,0.37720889238822874,0.0004250769463684835,174,0.2736297409546717,31,0.003,1,8,0.3,83,False
25,bayes,0.07894666251853565,0.35022083320700703,0.00029955412149972537,256,0.26136850091085256,40,0.001139605787468844,1,8,0.0497468360084475,75,False
26,bayes,0.16428310079132685,-0.3521500839290659,0.0017485732964133316,165,0.0,3,0.003,1,5,0.19478752532140148,70,False
27,bayes,0.07723200824025983,0.36433348335247084,0.00023330018460958758,248,0.4,40,0.0006005433942448822,1,8,0.02956019079535604,96,False
28,bayes,0.07837265607387112,0.3549452562218537,0.00010526531310260132,142,0.37630542621456475,40,0.003,3,8,0.3,96,False
29,bayes,0.08044119669505498,0.3379199057075776,0.00014664989749224667,250,0.2940115368899172,40,0.003,2,2,0.21808792390866652,96,False
30,bayes,0.08004665002406865,0.3411672653673259,0.0004947629670763221,32,0.17747856643697388,40,0.003,1,8,0.0,16,False
31,bayes,0.08395196010881018,0.3090241822783376,0.00010534034684184869,32,0.4,40,0.003,1,8,0.3,49,False
32,bayes,0.09571342304287578,0.2122201712947257,0.0001737945914234903,256,0.30712001709656395,40,0.003,1,2,0.3,38,False
33,bayes,0.07719077323820694,0.3646728725606001,0.0002030387962303936,256,0.4,40,0.0011998804808004756,1,7,0.3,68,False
34,bayes,0.20355386616900867,-0.6753724266144476,0.0014318214694419337,134,0.0,40,0.0001,2,2,0.0,95,False
35,bayes,0.08068384214705383,0.33592278569520384,0.0003997715118998002,32,0.08789029108717242,40,0.001932689993537287,3,8,0.3,16,False
