iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,is_best
1,random,0.2672252551841836,-1.1994267790466266,0.01620955547767529,0.7049582906585586,0.09046800706458055,4,128,0.7122920571808584,False
2,random,0.2676357055300324,-1.2028050356470605,0.01886909842802269,0.9188489682951995,0.18691333659165826,5,27,0.8819907327301539,False
3,random,0.31505286072627686,-1.5930771334431615,0.021891615419363814,0.7008215500510444,0.19026086356816524,4,95,0.9447560662364596,False
4,random,0.25022331065486697,-1.059490409380254,0.016010629674417534,0.7526966861807677,0.05503783629581965,6,60,0.9188966339289832,False
5,random,0.2133283858356078,-0.7558226830552852,0.013087692437947426,0.8268061663592975,0.13121918303736377,6,14,0.7899135671612154,False
6,bayes,0.13684986648776906,-0.12635783939919154,0.0005558796242224046,1.0,0.2,6,1,0.7,False
7,bayes,0.07287881660748849,0.4001629046578775,0.0007585041738273914,1.0,0.1674506184872349,1,28,0.7,False
8,bayes,0.0800508747568207,0.34113249324093076,0.0010142679535550978,1.0,0.13708321778998148,1,140,0.9065693372105637,False
9,bayes,0.07578319869246007,0.37625806927895045,0.0008850260095383275,0.7,0.0856151133815795,1,123,0.7,False
10,bayes,0.13658786809427334,-0.1242014328786909,0.004434802043201977,1.0,0.06625726958626135,2,120,0.7,False
11,bayes,0.13984645874251986,-0.15102162069650915,6.70320163036458e-07,0.7,0.05,1,1,1.0,False
12,bayes,0.07328200555281403,0.3968444138110697,0.0008279993304040366,0.8535043658565936,0.05,1,150,0.7,False
13,bayes,0.07323715608087962,0.3972135523100888,0.0008371288050974009,1.0,0.05,1,150,0.801634627449309,False
14,bayes,0.14179188805819823,-0.16703369010475533,0.004764630763139876,0.7019098005080764,0.14592498486134914,2,49,0.7099148654792833,False
15,bayes,0.08666958369852204,0.2866564831832005,0.00028823929031513806,0.8530497281620081,0.17846190521018815,1,7,0.7705885702777747,False
16,bayes,0.08344044885790158,0.31323423174486986,0.0010758510796317706,0.9552111118378857,0.196034580875041,1,143,0.7202724867282962,False
17,bayes,0.10034349095692245,0.17411188938125177,0.00010009336340255415,1.0,0.05,1,14,1.0,False
18,bayes,0.07796438234682666,0.3583055979224311,0.0009333578103236955,0.7105566041560326,0.11567751633882761,1,123,0.7024913375560238,False
19,bayes,0.1397928560225213,-0.15058043762901296,7.003632816280849e-07,1.0,0.05,1,1,0.8588657110911824,False
20,bayes,0.07367681635026309,0.39359488022949407,0.0008658294189951768,1.0,0.05,1,150,1.0,False
