model,horizon,iteration_id,MSE,R2
GRU,1,1,0.0673248339748772,0.446968969096149
GRU,2,1,0.0673777389771315,0.4464930562254823
GRU,3,1,0.064986208217339,0.466100024342603
GRU,4,1,0.064403496007799,0.4708487373653804
GRU,5,1,0.062237870462313,0.4886050530316347
GRU,6,1,0.0646643782008919,0.4686291240415514
GRU,7,1,0.0653616720556605,0.4628614238906777
GRU,8,1,0.067402024334726,0.4460554557114745
GRU,9,1,0.0648416480890811,0.4670614206249518
GRU,10,1,0.0650996835252828,0.464904207590549
GRU,11,1,0.0697028007112588,0.427028821480057
GRU,12,1,0.0685278439403058,0.4366479296004775
GRU,13,1,0.0719076749271049,0.4088213501776994
GRU,14,1,0.0716702470893395,0.4107312496128482
GRU,15,1,0.0753291613486522,0.3806032057939056
GRU,16,1,0.0739932024704265,0.391543899758198
GRU,17,1,0.0787540946917097,0.3523468829421614
GRU,18,1,0.0800533619747103,0.3416132768048274
GRU,19,1,0.0811462505272966,0.3325751168920805
GRU,20,1,0.0831887825074838,0.3157236869928609
GRU,21,1,0.0829671874234552,0.3174939401687729
GRU,22,1,0.0833709476446366,0.3141210656004184
GRU,23,1,0.086987478173948,0.2843165246790398
GRU,24,1,0.0863873294583328,0.2892043262536209
GRU,25,1,0.0853647322377693,0.2975705369014878
GRU,26,1,0.0860104963631036,0.2922095038326063
GRU,27,1,0.0862506669908064,0.2901862227946681
GRU,28,1,0.0881962636501754,0.2741272580410517
GRU,29,1,0.0877149986754897,0.2780419843580141
GRU,30,1,0.0892364220651873,0.265474175347103
GRU,31,1,0.0886742575868668,0.270057992305361
GRU,32,1,0.0900946245683767,0.2583234013799868
GRU,33,1,0.0878555493344529,0.2767246934237072
GRU,34,1,0.0894268038095233,0.2637730602980607
GRU,35,1,0.0912277634621973,0.2489338691475761
GRU,36,1,0.0905549324026266,0.2544621484718687
GRU,37,1,0.0901784389184902,0.2575519993549526
GRU,38,1,0.0887466116786724,0.2693310645885362
GRU,39,1,0.0904899973853116,0.2549684575964206
GRU,40,1,0.0882173605212027,0.2736739983367262
GRU,41,1,0.0882489652043699,0.2734100238660404
GRU,42,1,0.0895116417047805,0.2630073097438328
GRU,43,1,0.088292071998606,0.2730372480647937
GRU,44,1,0.087389378038649,0.2804532079583423
GRU,45,1,0.0898636401300782,0.2600584600042415
GRU,46,1,0.0887297411869838,0.2693713055488294
GRU,47,1,0.0904589593269983,0.255107354856476
GRU,48,1,0.0905688077992271,0.2541769375929515
GRU,49,1,0.0903371083593614,0.2560583771788025
GRU,50,1,0.0899058432316679,0.2595827113849385
GRU,51,1,0.0937351169074248,0.2280180099808316
GRU,52,1,0.0945004866637828,0.2216854804805996
GRU,53,1,0.096326548214725,0.2066159369956707
GRU,54,1,0.0966799557736365,0.2036748223561094
GRU,55,1,0.1021329682840741,0.1587276221908593
GRU,56,1,0.1045717954917594,0.1386055815644827
GRU,57,1,0.1059308645112532,0.1273763913932289
GRU,58,1,0.1046547394377542,0.137854679739679
GRU,59,1,0.1011040896106731,0.167070755867886
GRU,60,1,0.0999474171652027,0.1765646547634843
GRU,61,1,0.0993002740840696,0.181860985933144
GRU,62,1,0.1006971690913287,0.1703187267766762
GRU,63,1,0.1005124090561294,0.1718248827711463
GRU,64,1,0.0999988673834013,0.1760542167238171
GRU,65,1,0.0994935768281248,0.1802173459666214
GRU,66,1,0.1000507665173497,0.1756203491124482
GRU,67,1,0.1004915386011659,0.1719815652907514
GRU,68,1,0.1035147752996757,0.147067103919897
GRU,69,1,0.1008583962383741,0.1689534725065308
GRU,70,1,0.1021083311574973,0.158655373840862
GRU,71,1,0.1008791765898215,0.1687813565547848
GRU,72,1,0.1011756432101868,0.1663376243356131
GRU,1,2,0.0571153749834439,0.5308332328106327
GRU,2,2,0.0569241416729165,0.5323691747053476
GRU,3,2,0.0553193700219609,0.5455187936287811
GRU,4,2,0.0524808860608599,0.5688071479858059
GRU,5,2,0.053554202092474,0.5599568536716277
GRU,6,2,0.0539863740679477,0.556374194317851
GRU,7,2,0.0527631794046652,0.5663951339511651
GRU,8,2,0.0524652416245978,0.5688136276383049
GRU,9,2,0.0530207848011886,0.5642180209473449
GRU,10,2,0.0547505895265103,0.5499700075163252
GRU,11,2,0.0554215271225558,0.5444237909129446
GRU,12,2,0.0583436689033591,0.5203697536428731
GRU,13,2,0.0593999879804227,0.5116515068895582
GRU,14,2,0.0613954715630702,0.4952098775060368
GRU,15,2,0.0643616512367376,0.4707839602603075
GRU,16,2,0.0684987108828069,0.4367258463775594
GRU,17,2,0.0685351607983623,0.4363847277671506
GRU,18,2,0.0728930978827373,0.400501781877424
GRU,19,2,0.0708735289577116,0.4170678685377542
GRU,20,2,0.0750860418420707,0.3823734604437837
GRU,21,2,0.0763177631993518,0.3721935445337653
GRU,22,2,0.0786325844201372,0.3531027925812661
GRU,23,2,0.0779200142146201,0.3589184588307861
GRU,24,2,0.0793365444043546,0.3472182450112396
GRU,25,2,0.0790762039721106,0.3493161163408157
GRU,26,2,0.0800273165631311,0.3414457944988456
GRU,27,2,0.0815889248918872,0.3285507813892542
GRU,28,2,0.0803925670443451,0.3383532288277234
GRU,29,2,0.079669625749834,0.3442612348877323
GRU,30,2,0.0795126220953799,0.3455130431802963
GRU,31,2,0.0799933584808796,0.3415167571651796
GRU,32,2,0.0804458316575326,0.3377541547816233
GRU,33,2,0.0781949872553289,0.3562557651933263
GRU,34,2,0.0799674227382251,0.3416496127512823
GRU,35,2,0.0803245614175657,0.338698491920084
GRU,36,2,0.0797014770809451,0.3438185374337169
GRU,37,2,0.0783337727873914,0.3550703063117977
GRU,38,2,0.0771204838447581,0.3650513437820821
GRU,39,2,0.0783605408545604,0.3548339451501816
GRU,40,2,0.0785304816064498,0.3534296381470756
GRU,41,2,0.0783736763123895,0.3547173332914051
GRU,42,2,0.0790897247192466,0.3488159988764429
GRU,43,2,0.0786168759931917,0.3526990676868267
GRU,44,2,0.0782956884756245,0.3553288427294595
GRU,45,2,0.0806036564523559,0.3363056114985644
GRU,46,2,0.0811577376319011,0.3317215727514707
GRU,47,2,0.0815762901916423,0.3282525132509222
GRU,48,2,0.0820770088854631,0.3241058637332643
GRU,49,2,0.0838170976128483,0.3097517869376941
GRU,50,2,0.0837983408975873,0.309880891746338
GRU,51,2,0.0863910407277304,0.2885022204998436
GRU,52,2,0.0834399411381528,0.3127811296176358
GRU,53,2,0.0851991464045174,0.2982656786555165
GRU,54,2,0.0847640595433799,0.3018226556522101
GRU,55,2,0.0854963671893724,0.2957638133125488
GRU,56,2,0.0861497356312575,0.2903545255822974
GRU,57,2,0.0865529486210244,0.2870052867999462
GRU,58,2,0.085004383854287,0.2997342295694675
GRU,59,2,0.0876443606374563,0.2779564967222413
GRU,60,2,0.0863433544629197,0.2886442500706627
GRU,61,2,0.0873559850850622,0.2802704708566629
GRU,62,2,0.0875030050126786,0.2790303315881618
GRU,63,2,0.0860739263174366,0.2907912098845094
GRU,64,2,0.0864353123417701,0.2878118223368727
GRU,65,2,0.0883768220844221,0.2718144419658339
GRU,66,2,0.088796905805833,0.2683478122537569
GRU,67,2,0.0863638722052705,0.2883890596734484
GRU,68,2,0.0868486519688034,0.2843913148634687
GRU,69,2,0.0858438126554322,0.2926696727807601
GRU,70,2,0.0877101490107932,0.2772924432970743
GRU,71,2,0.0872876423187705,0.2807721267120225
GRU,72,2,0.0875349479005277,0.2787335933332138
GRU,1,3,0.0583682072364534,0.5205420063563652
GRU,2,3,0.0557695116794901,0.5418544398471294
GRU,3,3,0.0537331643160995,0.5585504077354959
GRU,4,3,0.0530012100067456,0.5645320683703899
GRU,5,3,0.0526706163361892,0.5672170842614721
GRU,6,3,0.0521494296552728,0.5714690392511406
GRU,7,3,0.0527103191639694,0.5668295364614915
GRU,8,3,0.0526327945911563,0.5674365910786389
