iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best
1,random,0.08729137361440012,0.28153877306638975,0.00017230378402672013,48,0.10791468550554813,3,0.0022297217157477775,2,3,0.012292057180858407,84,False
2,random,0.07467883582004371,0.3853476490557689,0.00011819355716766872,168,0.2917986243935994,24,0.0016036685991738307,2,8,0.16308749743962686,81,False
3,random,0.08201537592899179,0.32496345082552214,0.0001805726112866233,204,0.3429617106350278,30,0.0018837355453819819,1,7,0.010075672591639306,70,False
4,random,0.15617097125562643,-0.28538231183500695,0.0003581410248196126,153,0.11988475621495392,18,0.0001526094648129324,1,2,0.12680616635929753,30,False
5,random,0.08015424169504912,0.34028172031585346,0.00032593092816032805,203,0.25887580462970006,17,0.0028106885617398374,3,5,0.18461553344437615,16,False
6,bayes,0.07745383083177164,0.3625077481777309,0.00012238020122430252,54,0.025572761362242215,37,0.0008259704473115347,2,8,0.3,26,False
7,bayes,0.07787613025513744,0.35903196644487567,5.7526791462259044e-05,138,0.22808979816151265,39,0.001311808231972801,2,2,0.291211204004171,22,False
8,bayes,0.07337203855776991,0.3961033872866063,0.00014843385363078586,100,0.34894523420176893,23,0.0018681214949668962,3,8,0.2965913939737488,42,False
9,bayes,0.09335555582948146,0.23162685606709577,0.00010177100804469993,206,0.05966684822906482,4,0.0009039797629428466,3,8,0.0022669191896267375,36,False
10,bayes,0.07384356416110775,0.392222444079077,0.00025096743372543767,64,0.13452605492140832,36,0.0027438347685809603,1,8,0.280251204672059,94,False
11,bayes,0.08395077536072902,0.3090339334773933,0.000258808087727386,176,0.29457945281183295,4,0.001392550372948258,1,8,0.2799877867334698,42,False
12,bayes,0.08014334311317861,0.34037142228958006,0.000168639100049525,252,0.030938525826643522,40,0.00167454981806977,3,8,0.2809099934309846,72,False
13,bayes,0.08031879080212032,0.3389273808380555,0.0001538503188694041,34,0.05925456719811432,23,0.00100071822169581,3,8,0.3,88,False
14,bayes,0.076831920048618,0.3676264531059128,0.00014446883264636258,60,0.3475760695165189,40,0.0028125054253749404,2,5,0.04752426786288397,68,False
15,bayes,0.08368492024944826,0.31122208313673005,0.0002562516725638168,40,0.35398504695603183,36,0.0013790932283274172,1,8,0.290063773385087,20,False
16,bayes,0.07873642117360356,0.35195124766123775,0.00022932686751879844,219,0.2640852366881717,38,0.0029892701085976643,1,4,0.28053605000919907,62,False
17,bayes,0.07765928150804778,0.3608167638474379,0.00012950455339095175,212,0.12691831804408887,4,0.0029127127190873158,3,4,0.28053505064334183,71,False
18,bayes,0.08117210697666305,0.33190406844945164,0.0001827297736338276,132,0.16981355834396103,40,0.0005645040442788236,1,2,0.29577519656429846,58,False
19,bayes,0.09606760485166735,0.20930503906154507,0.00014295709372776435,234,0.27093389645101057,6,0.00046745493457183384,3,5,0.2995364557623062,29,False
20,bayes,0.08557358247537948,0.29567724148834695,0.0002864854819998821,52,0.07823258323931481,40,0.0007086614704697011,1,3,0.0011687366078952045,60,False
21,bayes,0.08250499475001782,0.32093358940487304,0.00012762331786127736,198,0.251152032343125,39,0.0029862686393796866,2,8,0.026579669406637054,73,False
22,bayes,0.07490409946068989,0.3834935919486243,0.0001374533413961406,106,0.29973457802170067,39,0.002252236914843639,2,2,0.2941325783047141,87,False
23,bayes,0.0734872548966384,0.39515508656960885,0.00019416856461397145,115,0.08436381385456276,39,0.002987598790169527,2,5,0.2873465723111324,39,False
24,bayes,0.07711108322142557,0.3653287699862039,0.00016204152773256788,152,0.14470986864107255,4,0.002954654981325876,3,6,0.2677651024246435,92,False
25,bayes,0.0765312852051076,0.37010086116691565,0.0001461203300211926,247,0.37836535432196994,39,0.002244868921257356,3,6,0.2808692610124723,36,False
26,bayes,0.09007653279737494,0.25861521486183214,0.00017324727730213564,101,0.04265119499629077,40,0.0003909856789751076,1,7,0.019396037671876757,77,False
27,bayes,0.1168314782212278,0.03840570136882837,0.0003691011665692831,32,0.0,26,0.003,3,3,0.3,16,False
28,bayes,0.08437146373929637,0.30557141162549384,0.00015918186202136525,142,0.4,13,0.003,1,2,0.3,94,False
29,bayes,0.13505993071613048,-0.11162557666376327,0.00010231226977562354,125,0.0,32,0.0001,2,2,0.3,26,False
30,bayes,0.07632429055930509,0.3718045533077784,0.00011785231938507042,73,0.04993811585104653,8,0.0013118749994027795,3,8,0.3,53,False
31,bayes,0.0904965621067651,0.2551581175510995,9.056187149828348e-05,32,0.21719455245960503,8,0.0001,3,8,0.22812260328229791,55,False
32,bayes,0.07961865340744823,0.3446899384742803,0.00016285913944361842,256,0.4,22,0.001153623807047165,2,7,0.0,68,False
33,bayes,0.08601738944460714,0.29202443953976576,0.00020123177692112925,50,0.4,7,0.003,1,3,0.0,70,False
34,bayes,0.1589327410808341,-0.30811336136450573,0.00025729063001929837,32,0.4,3,0.0001,1,5,0.3,65,False
35,bayes,0.07158227486886341,0.4108342336762302,0.00017615138517890644,256,0.19175984386968847,40,0.0019652353191132103,2,2,0.3,96,True
