iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,max_depth,min_samples_leaf,n_estimators,is_best
1,random,0.1904472862328394,-0.5674972825774176,0.008706301306379696,7,6,129,False
2,random,0.15516562339484483,-0.2771076859740029,0.0047484012407906714,4,1,44,False
3,random,0.09249668475568994,0.23869588866337343,0.00018824139931000194,1,2,15,True
4,random,0.18452670025142626,-0.5187672501327187,0.008321884718555002,7,10,123,False
5,random,0.18889095688521912,-0.5546877431429325,0.008337664903981497,7,10,78,False
6,bayes,0.17522604241471051,-0.4422171654682916,0.0178717680441393,10,10,147,False
7,bayes,0.10084886588551537,0.16995234558873185,0.0003298087197976079,1,2,16,False
8,bayes,0.10351346154486174,0.14802109869195756,0.0030992416140628466,2,10,149,False
9,bayes,0.09996903751144182,0.1771938695441253,0.00032000202467089706,1,10,146,False
10,bayes,0.10115182840591903,0.16745877932769848,0.0027753528713277964,2,1,7,False
11,bayes,0.0999322472518401,0.17749667581189488,0.000317839015752078,1,10,149,False
12,bayes,0.14451358930456046,-0.18943495080029726,0.010788299259678329,4,5,45,False
13,bayes,0.10204106559652017,0.16013981507566966,0.00032589009221738055,1,1,6,False
14,bayes,0.10171206451299347,0.16284769458707749,0.00275283622908892,2,10,6,False
15,bayes,0.10365728665136342,0.14683733037439728,0.0031288634347548016,2,1,145,False
16,bayes,0.09995761352111142,0.17728789594982164,0.00031978515149478845,1,10,145,False
17,bayes,0.13753522388589057,-0.1319987486523504,0.007941938031038799,3,10,145,False
18,bayes,0.1535248236283658,-0.263602903490177,0.014569152852635115,5,10,150,False
19,bayes,0.18681944162693304,-0.5376379095516506,0.015382816103172776,9,1,6,False
20,bayes,0.16039861782870604,-0.3201784207535563,0.01444612226052784,7,9,21,False
21,bayes,0.10003286156851555,0.17666855864048858,0.00031865781751599665,1,10,75,False
22,bayes,0.17852757906513989,-0.46939082506851637,0.021080333632604878,6,1,5,False
23,bayes,0.10215510353963506,0.15920121327419923,0.00032639166478774426,1,1,7,False
24,bayes,0.09994083139913357,0.1774260230458623,0.0003177875654844846,1,1,148,False
25,bayes,0.1401691702035857,-0.15367773278024277,0.00831049678200593,3,10,5,False
26,bayes,0.10227675765503756,0.15819992573117458,0.0027415300889493993,2,1,8,False
27,bayes,0.10367963945649868,0.14665335315949135,0.003072598462954513,2,10,82,False
28,bayes,0.20458262524597445,-0.6838397410586092,0.020645356094654038,10,2,5,False
29,bayes,0.10012801391299331,0.17588539683046722,0.00031995049763383344,1,1,78,False
30,bayes,0.16975148711653074,-0.39715823749425305,0.01655953180634197,8,9,150,False
31,bayes,0.10215510353963506,0.15920121327419923,0.0003263916647877442,1,7,7,False
32,bayes,0.15546435038236223,-0.27956639121695237,0.013958065731728843,4,8,150,False
33,bayes,0.15901057382460376,-0.30875397230083257,0.014557414395830057,5,8,5,False
34,bayes,0.10358180473862665,0.14745859253800708,0.0030589520347661684,2,1,76,False
35,bayes,0.19494522073357023,-0.6045180259367473,0.020761333996390945,8,1,5,False
36,bayes,0.10089139234346209,0.16960232691118737,0.0003378358794385722,1,10,21,False
37,bayes,0.09993167282527074,0.17750140369279221,0.0003187749161166904,1,1,138,False
38,bayes,0.1709285101104652,-0.40684585437248844,0.01620114928971603,9,8,150,False
39,bayes,0.15808609813922328,-0.30114497375164273,0.014138142622353652,6,8,150,False
40,bayes,0.10007946722810714,0.1762849656462927,0.0003179447714571255,1,2,103,False
41,bayes,0.10281491361283743,0.1537705740814861,0.0029512818341148285,2,10,45,False
42,bayes,0.09997382258923986,0.17715448543635615,0.0003148261297579853,1,10,53,False
43,bayes,0.13672418469587924,-0.1253234016229774,0.007681870885949969,3,1,75,False
44,bayes,0.10371662253922297,0.14634895983985752,0.0031160754991682534,2,1,113,False
45,bayes,0.10352923869790268,0.1478912431030036,0.003101740656829136,2,9,150,False
46,bayes,0.10007946722810712,0.1762849656462928,0.0003179447714571256,1,10,103,False
47,bayes,0.16296927024191715,-0.3413364574568627,0.015429658761843521,4,8,5,False
48,bayes,0.14442691204482794,-0.1887215441050405,0.011653924900530533,5,1,80,False
49,bayes,0.09992451014356674,0.1775603569303471,0.00031713486007225425,1,1,45,False
50,bayes,0.10265421791169045,0.15509319767908247,0.0029294592273545416,2,1,41,False
51,bayes,0.1572758221823655,-0.2944759085964712,0.013947397514475542,6,10,83,False
52,bayes,0.101949383055277,0.16089441828951,0.0028459749876439486,2,4,5,False
53,bayes,0.1692909294060578,-0.3933675667321934,0.015799279112556127,9,10,81,False
54,bayes,0.10012880686595191,0.17587887034414973,0.0003188476492924755,1,1,114,False
55,bayes,0.10371662253922297,0.14634895983985752,0.003116075499168254,2,10,113,False
