model,iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best,colsample_bytree,max_depth,n_estimators,subsample,min_samples_leaf
GRU,1,random,0.0870541236039187,0.2834914853054411,0.0001472280824168,48.0,0.1079146855055481,3.0,0.0022297217157477,2.0,3.0,0.0122920571808584,84.0,False,,,,,
GRU,2,random,0.0762660908860324,0.3722835721035104,0.0001281084822386,168.0,0.2917986243935994,24.0,0.0016036685991738,2.0,8.0,0.1630874974396268,81.0,False,,,,,
GRU,3,random,0.0806249883670308,0.3364071881883043,0.0001862504201681,204.0,0.3429617106350278,30.0,0.0018837355453819,1.0,7.0,0.0100756725916393,70.0,False,,,,,
GRU,4,random,0.1473730028704356,-0.2129696678494779,1.911567862813964e-05,153.0,0.1198847562149539,18.0,0.0001526094648129,1.0,2.0,0.1268061663592975,30.0,False,,,,,
GRU,5,random,0.0746064968062002,0.3859430432452426,0.0001972204848425,203.0,0.2588758046297,17.0,0.0028106885617398,3.0,5.0,0.1846155334443761,16.0,True,,,,,
GRU,6,bayes,0.0928705400556344,0.2356188316029553,0.0002465405809799,32.0,0.0,3.0,0.003,1.0,8.0,0.3,96.0,False,,,,,
GRU,7,bayes,0.1289623740354874,-0.0614389674642792,0.0003227838195744,256.0,0.0,40.0,0.00193413612992,3.0,8.0,0.3,96.0,False,,,,,
GRU,8,bayes,0.0793651846168209,0.3467761411626229,9.623219574062794e-05,206.0,0.4,6.0,0.0019328452131224,3.0,8.0,0.2068871250434376,66.0,False,,,,,
GRU,9,bayes,0.0876211693033183,0.2788243534681333,0.0001654599625483,129.0,0.4,40.0,0.003,1.0,2.0,0.0,19.0,False,,,,,
GRU,10,bayes,0.1137734235816527,0.063575355567243,8.905064627186882e-05,32.0,0.4,3.0,0.00032941420694,2.0,3.0,0.3,64.0,False,,,,,
GRU,11,bayes,0.0878095248280072,0.2772740726584224,0.0003522395165049,32.0,0.4,19.0,0.003,2.0,3.0,0.197117946918605,93.0,False,,,,,
GRU,12,bayes,0.0934381269360737,0.2309472455157298,7.198158592921544e-05,32.0,0.2440733530467955,18.0,0.003,3.0,5.0,0.2868215645410941,45.0,False,,,,,
GRU,13,bayes,0.084231235787379,0.3067255731676183,0.0001168941860356,159.0,0.4,18.0,0.0029723665957252,1.0,6.0,0.1503436326885987,72.0,False,,,,,
GRU,14,bayes,0.0835100132054712,0.3126616747505604,0.0001141425263085,256.0,0.4,21.0,0.0025380479577552,1.0,8.0,0.0,16.0,False,,,,,
GRU,15,bayes,0.08320957628301,0.3151344538006548,9.208195748861835e-05,256.0,0.2566850756439921,3.0,0.001476199157087,3.0,2.0,0.2707315084419827,75.0,False,,,,,
GRU,16,bayes,0.1430776887442376,-0.1776166137114414,3.14840949942327e-06,256.0,0.4,18.0,0.0001,3.0,8.0,0.1052009060507689,45.0,False,,,,,
GRU,17,bayes,0.086950508082906,0.2843443042183953,9.672465893657285e-05,123.0,0.2532460664169597,3.0,0.0020638018180678,3.0,3.0,0.1318236988377444,35.0,False,,,,,
